obs_date_time,JD,target_flux_red,flux_green,flux_blue,blue_over_red,comp_flux_red,comp_flux_green,comp_flux_blue,comp_blue_over_red
2025-02-07 04:05:41.048,2460713.6706139813,995944.4137651098,1102321.8255422595,2162530.4851953164,2.1713365277284864,264524.87762708,326384.1609116983,672519.205546822,2.542366568995909
2025-02-07 04:06:46.189,2460713.6713679284,900741.0263411023,1093837.1807520958,2233855.5499584717,2.4800197666499217,267707.0142045298,315513.44011113123,655554.1140478806,2.4487745156614884
2025-02-07 04:07:51.284,2460713.6721213427,918339.7644006527,1103486.9554566322,2184551.496744034,2.3788052978080114,265669.52929552115,313685.52695151046,657713.9048545442,2.475684383521932
2025-02-07 04:08:56.426,2460713.672875301,877773.0936941364,1111780.136337306,2179578.217857133,2.4830770429340774,255133.83319997718,318498.4676522309,667950.7859764529,2.6180408046976056
2025-02-07 04:10:01.539,2460713.6736289235,932910.4221479826,1091520.209061386,2227433.2651889822,2.387617516438954,263349.97657717665,319962.84288330516,642064.0360590564,2.4380637674782357
2025-02-07 04:11:06.582,2460713.674381736,922846.8837183889,1140008.430054446,2099360.001140362,2.2748735875679587,270148.2204564051,330796.6193946537,685687.3189832608,2.538189286699051
2025-02-07 04:12:11.535,2460713.675133507,963722.3061053893,1129288.6635252365,2186661.43288886,2.268974598840233,261798.79579660355,321498.4463625374,654043.5572056217,2.498268012331732
2025-02-07 04:13:16.611,2460713.6758867013,1120340.492532485,1118656.5849290956,2231290.9654394262,1.991618601944559,268654.32004602405,332368.98653411487,685078.5765463224,2.5500374474862695
2025-02-07 04:14:21.661,2460713.676639595,1166968.31553053,1151770.5725588102,2182505.0652487567,1.8702350665420946,275940.69737868255,330933.8601966769,677995.7653643034,2.4570343258713567
2025-02-07 04:15:26.662,2460713.677391921,877271.324655289,1095248.0440067668,2210214.8179131174,2.5194198827615724,257062.12148553468,312252.81853184226,657073.7102529925,2.556089191421254
2025-02-07 04:17:01.996,2460713.678495324,822332.8736842647,1037048.2947298803,2261742.829826318,2.750398168679702,254892.4860908054,295674.48401355103,634143.650052226,2.487886794067019
2025-02-07 04:18:07.056,2460713.6792483334,815145.8721575544,1042726.8691153723,2352405.9826076105,2.8858711832536015,245172.55480601595,305208.88523642754,608012.8094773013,2.47993830287558
2025-02-07 04:19:12.094,2460713.680001088,870170.4815403977,1054657.5812787316,2313598.1395581723,2.658787201632699,262008.0307072218,304683.50110653386,626047.3572892755,2.3894204906598673
2025-02-07 04:20:17.112,2460713.680753611,839005.0045130294,1010786.9410314747,2231276.9982447643,2.6594322873435416,246607.26860879164,297983.5656209116,607691.4156084184,2.4642072354016333
2025-02-07 04:21:22.128,2460713.6815061113,828807.5057714069,1029717.7741509093,2261097.184145192,2.7281330929076124,250628.3180830075,304980.136742754,624703.1370231812,2.4925480959269772
2025-02-07 04:22:27.147,2460713.682258646,869761.5683856418,1066956.4895896562,2255982.305649106,2.5937939633690856,268444.18071933766,303481.66603645287,650452.9274666781,2.4230472261447016
2025-02-07 04:23:32.377,2460713.6830136226,858319.1870020932,1078941.3322466454,2208951.3486571796,2.573577967390577,267483.5436133618,305850.03758928354,625997.3776180138,2.3403210872773217
2025-02-07 04:24:37.492,2460713.6837672684,924374.1215151191,1059980.6727786742,2234960.1096307877,2.417809042476783,252909.2187021112,316123.13308088266,620606.7536687178,2.4538716178618176
2025-02-07 04:25:42.547,2460713.68452022,804263.1026039964,981042.2891813539,2240981.804592051,2.7863789813760325,244304.03106841483,296330.16016373155,637703.7494495154,2.6102874629642643
2025-02-07 04:28:22.974,2460713.686377014,826306.3990927176,1018442.057818365,2281347.7199450317,2.7608980427235537,238959.40694575413,296761.14014132496,625974.2152374872,2.6195839002043924
2025-02-07 04:29:27.871,2460713.6871281364,863047.8619047264,1088363.666260716,2183269.5131743667,2.529720088009884,264268.1465602537,306277.5113349476,644048.6933149206,2.4371030019998123
2025-02-07 04:30:32.915,2460713.6878809608,979257.9780550321,1097711.92390284,2263095.6879950464,2.3110311467565756,255731.33701731375,314598.0781370617,660268.620190229,2.581883893820674
2025-02-07 04:31:37.921,2460713.688633345,1079151.2737705596,1118012.5169055997,2228332.758768916,2.0648937854496627,272601.53526742215,325210.2438671208,688218.018845642,2.524630017840875
2025-02-07 04:32:42.845,2460713.68938478,1034572.7428797549,1102835.3820579804,2125847.7034309995,2.0548073763413273,253421.18971536346,316221.17694944167,657968.0371781281,2.5963418367546214
2025-02-07 04:33:48.078,2460713.6901397915,843635.6607355527,1077804.963191935,2189752.337534773,2.595613769604716,256794.7698009879,310259.76560589357,662148.0755609486,2.578510754226433
2025-02-07 04:37:03.261,2460713.692398854,808949.0422712849,1012544.2386315273,2294842.7346574287,2.8368198919108707,229658.4217422791,285317.5864439196,603074.8818041085,2.625964583527768
2025-02-07 04:38:08.258,2460713.693151134,894925.4161271085,1091841.3712723963,2170498.072317284,2.4253396240665075,259163.03089178097,314529.7579698525,655012.9396037406,2.5274165738448056
2025-02-07 04:39:44.009,2460713.694259363,943954.2686998687,1091532.7545022727,2235667.1695620283,2.368406228663246,254847.57518000255,319925.54494866834,649229.6408741673,2.547521358269181
2025-02-07 04:40:48.947,2460713.6950109606,766578.644902697,970655.9008020299,2217728.5952954446,2.8930216228198535,244610.35675599365,287523.9445927784,603687.2280954146,2.4679544893416394
2025-02-07 04:41:53.997,2460713.6957638543,817496.5705551241,965214.7053419024,2234142.449142451,2.7329074269086515,241203.99544537876,284664.5238945602,588345.6392050352,2.4392035385594077
2025-02-07 04:42:59.040,2460713.6965166666,800897.5633930331,987062.3616895602,2218875.1720231883,2.770485606951829,236138.0983532162,295882.33820122835,599995.5247733843,2.5408670983532224
2025-02-07 04:44:04.060,2460713.697269213,775879.408211623,1007150.6602379503,2205841.479043577,2.8430210361272126,231571.9888971716,294632.97790334,637090.38162931,2.751154769034725
2025-02-07 04:45:09.205,2460713.698023206,996392.4116124748,1107893.6638803033,2171947.3483411726,2.1798112099491824,268326.7029894968,320623.7741038231,648204.7125999146,2.41572942751541
