obs_date_time,JD,airmass,target_name,tmid,target_flux_red,flux_green,flux_blue,blue_over_red,comp_name,comp_flux_red,comp_flux_green,comp_flux_blue,comp_blue_over_red
2024-02-26 05:39:08.488,2460366.7355149076,1.001517,KELT-4,2460366.7809,21269520.10692265,20220111.293844208,22341004.528981093,1.0503765207993436,TYC 1973-1054-1,21269520.10692265,20220111.293844208,22341004.528981093,1.0503765207993436
2024-02-26 06:16:31.343,2460366.7614738774,1.018481,KELT-4,2460366.7809,23063576.67684938,23790808.476470318,20797445.03125069,0.9017441363345272,TYC 1973-1054-1,23063576.67684938,23790808.476470318,20797445.03125069,0.9017441363345272
2024-02-26 06:17:40.324,2460366.7622722685,1.019349,KELT-4,2460366.7809,22048154.631531425,22096803.628491998,21143407.326777145,0.958964941970228,TYC 1973-1054-1,22048154.631531425,22096803.628491998,21143407.326777145,0.958964941970228
2024-02-26 06:19:58.352,2460366.763869815,1.02115,KELT-4,2460366.7809,24385195.22937351,25125055.93815904,19407666.959011182,0.7958790887855357,TYC 1973-1054-1,24385195.22937351,25125055.93815904,19407666.959011182,0.7958790887855357
2024-02-26 06:21:07.343,2460366.7646683217,1.022221,KELT-4,2460366.7809,23129001.23580076,22015266.866134092,23071457.434432395,0.9975120498813717,TYC 1973-1054-1,23129001.23580076,22015266.866134092,23071457.434432395,0.9975120498813717
2024-02-26 06:24:34.347,2460366.767064201,1.025227,KELT-4,2460366.7809,23645927.10938184,22695173.26851158,24492107.355468217,1.035785454390183,TYC 1973-1054-1,23645927.10938184,22695173.26851158,24492107.355468217,1.035785454390183
2024-02-26 06:29:10.343,2460366.7702585994,1.029438,KELT-4,2460366.7809,21634110.770311847,22115073.83508432,25892891.232694045,1.1968548884489607,TYC 1973-1054-1,21634110.770311847,22115073.83508432,25892891.232694045,1.1968548884489607
2024-02-26 06:30:19.348,2460366.7710572686,1.03055,KELT-4,2460366.7809,25955719.878430065,21211658.813288525,20408300.11847428,0.7862737082254517,TYC 1973-1054-1,25955719.878430065,21211658.813288525,20408300.11847428,0.7862737082254517
2024-02-26 06:31:28.344,2460366.7718558335,1.031693,KELT-4,2460366.7809,20983690.35021828,24519712.71903427,21421986.31679403,1.0208874587482268,TYC 1973-1054-1,20983690.35021828,24519712.71903427,21421986.31679403,1.0208874587482268
2024-02-26 06:33:46.343,2460366.773453044,1.034095,KELT-4,2460366.7809,23130155.891195357,25439137.69550653,18530483.666810557,0.8011395925724956,TYC 1973-1054-1,23130155.891195357,25439137.69550653,18530483.666810557,0.8011395925724956
